availability,detail,images,name,regular_price,sale_price,sku
In stock,Regal accents and subtle Pave Diamonds make the Katy Pendant Necklace in 14k Rose Gold a dainty accent with unique and timeless style. Wear it around your neck as a petite touch of sparkle that will make you feel like royalty.  Our diamonds are conflict-free in compliance with the Kimberley Process.																,https://www.jewelryus.shop/images/cache/b/2/b2211f008ff07b32d0713066c0d04670.jpg,Katy Pendant Necklace in White Diamond and 14k Rose Gold,$420.00,$122.00,KS-0001
In stock,"Loved for a chic pendant with subtle personality, the Marisa Necklace in 14k White Gold features Pave Diamonds that sparkle at every angle. Whether you layer on another style or wear it alone, there is nothing you can't wear with this timeless necklace. Our diamonds are conflict-free in compliance with the Kimberley Process.																",https://www.jewelryus.shop/images/cache/b/c/bcba298dcf0baa4d9c574819bdf128b2.jpg,Marisa Pendant Necklace in White Diamond and 14k White Gold,$420.00,$122.00,KS-0030
In stock,"With simple details like sharp faceting and crystal accents, the Angela Chain Bracelet in Silver is an everyday essential that adjusts to your perfect fit.																",https://www.jewelryus.shop/images/cache/5/5/55cfdfadc6424ccab58f47e068e4b898.jpg,Angela Adjustable Chain Bracelet In Silver,$75.00,$19.89,KS-0038
In stock,"With a Lilac Mother-of-Pearl centerpiece and nature-inspired details, the Ethan Pendant Necklace is easy to layer or wear alone, making it one of our favorite everyday essentials of the season.																",https://www.jewelryus.shop/images/cache/c/0/c0c4874d8efbd7479f5fc34bd36e8ad6.jpg,Ethan Rose Gold Pendant Necklace In Lilac Mother of Pearl,$80.00,$20.69,KS-0037
In stock,"Our signature oval shape is removed from its frame for the first time to create the Aragon Drop Earrings, a modern style with a dynamic Abalone Shell centerpiece and Silver accent.																",https://www.jewelryus.shop/images/cache/b/8/b8416763ee8e89b865d46ce5e37926b9.jpg,Aragon Silver Statement Earrings in Abalone Shell,$100.00,$26.00,KS-0033
In stock,"Make an effortless statement with the Rosenell Drop Earrings in Aqua Howlite, featuring nature-inspired details that perfectly accent the season.																",https://www.jewelryus.shop/images/cache/2/a/2a4f8a6b5129da4bc5c1f18740b947ad.jpg,Rosenell Gold Drop Earrings In Aqua Howlite,$90.00,$23.00,KS-0035
In stock,"A long necklace that plays up length with its adjustable slider, the Ro Pendant Necklace in Gold is a simple accent with sharp faceting and crystal accents.																",https://www.jewelryus.shop/images/cache/1/2/12fa32a8b09b8b3d3e5eb148ad9f8881.jpg,Ro Long Pendant Necklace In Gold,$100.00,$26.00,KS-0024
In stock,"With a gathering of Pave Diamonds on a 14k Rose Gold backdrop, the Gypsy Stud Earrings provide maximum sparkle on petite studs. Wear these high-impact earrings to add that something special to your everyday and beyond. Our diamonds are conflict-free in compliance with the Kimberley Process.																",https://www.jewelryus.shop/images/cache/b/6/b6e0d98f6f33ef1cfa317877034d78b0.jpg,Gypsy Stud Earrings in White Diamond and 14k Rose Gold,$420.00,$122.00,KS-0022
In stock,"A long necklace that plays up length with its adjustable slider, the Ro Pendant Necklace in Silver is a simple accent with sharp faceting and crystal accents.																",https://www.jewelryus.shop/images/cache/7/f/7f9531043f8669e76eefc8fd5f7f0f7b.jpg,Ro Long Pendant Necklace In Silver,$100.00,$26.00,KS-0023
In stock,"A dainty, everyday accessory with a warm weather flair, the Inaiyah Stud Earrings in Aqua Howlite are accented with nature-inspired details that subtly bring the season to life.																",https://www.jewelryus.shop/images/cache/f/5/f537d5dda1f1b16dea5e048778337562.jpg,Inaiyah Gold Stud Earrings In Aqua Howlite,$80.00,$20.69,KS-0017
